#{"t_start": 1700146286.6471417, "env_id": "None"}
r,l,t
28151.239588,3751,3.595428
24605.70746,3607,7.023276
24483.799425,3568,10.765593
25841.903743,3547,14.232191
26859.55753,3609,17.728454
25641.108154,3570,21.23137
28474.451108,3639,24.675599
23323.704182,3533,28.016793
24612.640475,3596,31.414167
23953.973397,3557,34.961568
26010.691511,3571,38.421799
27964.463754,3651,41.90626
24132.100994,3445,45.302119
23178.084026,3539,48.671717
27127.148798,3483,62.447176
26941.23717,3465,65.853147
30267.579975,3518,69.324337
29967.658438,3575,72.710824
27714.787518,3552,76.652892
26267.872134,3344,80.105578
27276.078698,3454,83.558434
28184.50412,3309,86.861619
29339.628333,3476,90.187285
26491.699577,3458,93.636474
27861.533822,3468,96.956412
27721.050104,3357,100.315007
29813.389734,3513,103.661131
27121.935209,3270,107.092219
29480.841764,3471,110.520935
31048.864286,3341,123.574647
31741.46339,3246,127.238487
30380.293528,3331,130.431875
30628.229584,3205,134.137853
30477.127572,3174,137.539757
30024.354747,3330,140.839708
30103.344065,3508,144.348393
30007.127725,3238,148.021652
30135.269714,3125,151.271421
29652.995601,3314,154.518967
32520.036693,3379,157.811989
28821.349045,3205,161.351719
30218.812414,3434,164.713635
30539.262162,3358,168.27165
32612.554871,3382,171.556889
30677.86885,3215,186.400614
33079.261792,3183,189.637631
37277.857099,3445,193.035903
34171.965493,3511,196.224505
35151.167955,3433,199.619069
32788.149204,3313,202.875386
34582.17614,3331,206.111689
33129.948279,3280,209.455662
31555.256246,3160,212.641324
33899.053749,3349,215.928677
35808.723621,3268,218.982302
34579.142911,3352,222.110214
32264.475978,3200,225.396112
33474.242088,3220,228.423936
35847.864849,3386,231.694873
33173.612717,3345,234.890268
35051.49666,3183,248.587939
35094.992475,3162,251.831764
32348.238653,2989,255.089785
35118.129944,3287,258.846409
35359.06488,3335,261.983553
37360.548173,3247,265.254221
34422.740202,3168,268.247788
35402.456495,3178,271.625131
36025.710872,3175,274.823377
36179.930971,3183,278.270557
34907.071911,3198,281.440865
36513.506131,3151,284.45612
34499.393657,3219,287.761165
34270.336899,3087,290.925469
33875.678948,3199,293.99306
35450.247988,3307,297.185664
37229.710906,3222,310.9006
39314.634368,3210,314.125894
38999.695274,3153,317.177557
38192.404175,3141,320.532126
34504.662552,3043,323.555032
36862.418387,3194,326.855292
38850.08557,3108,330.288275
39276.704514,3184,333.596794
37014.045389,3084,336.739121
38899.896625,3268,339.830827
35243.725847,3039,342.930896
36331.907813,2973,345.928446
36826.871581,3271,349.29342
40132.081801,3287,352.52996
37303.386314,3116,355.605915
38150.215629,3127,358.697251
41013.657894,3176,375.09261
37665.571534,2957,378.490571
38176.728934,3137,381.789149
37704.919131,3052,385.236733
40485.24691,3068,388.49272
39042.444279,3144,391.906127
