time/iterations,time/total_timesteps,time/fps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,train/value_loss,train/explained_variance,train/clip_fraction,train/policy_gradient_loss,train/loss,train/learning_rate,train/approx_kl,train/entropy_loss,train/clip_range,train/n_updates
1,51200,1023,50,25516.673239071428,3584.5,,,,,,,,,,
2,102400,919,111,26855.530025551725,3513.655172413793,16623.995650390625,-0.0006148815155029297,0.292646484375,-0.014560003833379596,6253.8232421875,0.00029923199999999997,0.0035914565,-0.9410442750155926,0.1,10
3,153600,882,174,28130.03309404545,3442.409090909091,23037.83050390625,-4.2557716369628906e-05,0.25591796875,-0.013589120087912306,8538.2216796875,0.00029846399999999997,0.0030264463,-0.9207967084348202,0.1,20
4,204800,869,235,29653.037051816667,3407.616666666667,29261.885506835937,-1.1563301086425781e-05,0.2339375,-0.012327150223660283,11985.8671875,0.00029769599999999996,0.0026210267,-0.8968840328752995,0.1,30
5,256000,859,298,30803.444315368426,3362.1710526315787,35438.05863867187,-3.2186508178710938e-06,0.216083984375,-0.011357738266524394,13757.955078125,0.00029692799999999996,0.0023299444,-0.8665800547003746,0.1,40
6,307200,852,360,32002.111029489133,3325.4891304347825,40403.62899414063,-1.1920928955078125e-06,0.201359375,-0.010529114196891896,16536.69140625,0.00029615999999999996,0.0022534635,-0.8412636620104312,0.1,50
