rollout/ep_len_mean,time/fps,time/time_elapsed,time/iterations,time/total_timesteps,rollout/ep_rew_mean,train/n_updates,train/approx_kl,train/clip_fraction,train/learning_rate,train/policy_gradient_loss,train/loss,train/entropy_loss,train/value_loss,train/explained_variance,train/clip_range
3938.0,873,29,1,25600,121.89131350000001,,,,,,,,,,
3807.3076923076924,751,68,2,51200,153.34434646153844,10,0.014483171,0.237125,2.99616e-05,-0.027654280401067807,0.11183160543441772,-0.90170378947258,0.3719058936834335,-0.026569366455078125,0.2
3688.7,712,107,3,76800,192.73092765,20,0.017155819,0.22552734375,2.9923200000000002e-05,-0.023398710263427346,0.1443529725074768,-0.8337263330817223,0.41234293463826177,0.06905436515808105,0.2
3561.1428571428573,719,142,4,102400,245.15057685714285,30,0.015111471,0.19843359375,2.9884800000000002e-05,-0.017956588675267993,0.24120761454105377,-0.7357957429289818,0.6582477301955223,0.13732725381851196,0.2
3441.837837837838,730,175,5,128000,298.29228845945954,40,0.013407391,0.12448046875,2.98464e-05,-0.01133204493788071,0.4913146197795868,-0.6366405454277992,1.2931572548747063,0.11623066663742065,0.2
3351.8888888888887,735,208,6,153600,337.7524349777778,50,0.0080120955,0.08834765625,2.9808000000000003e-05,-0.008749373080441727,0.6490302681922913,-0.5498341435790062,2.1275462349653242,0.16882848739624023,0.2
3266.5925925925926,727,246,7,179200,371.0102786296297,60,0.0045976155,0.0694296875,2.97696e-05,-0.006916950672748498,1.0634490251541138,-0.4796575535237789,2.7715614956617354,0.2797556519508362,0.2
3183.5,726,281,8,204800,404.616006765625,70,0.003643502,0.05315234375,2.97312e-05,-0.005551898778881878,1.5977301597595215,-0.4243293858766556,3.682747836947441,0.2553643584251404,0.2
3124.849315068493,728,316,9,230400,428.09240779452057,80,0.003181875,0.0369453125,2.96928e-05,-0.0035895175047917292,0.8663763403892517,-0.37724744629859924,4.671242561459541,0.21686553955078125,0.2
3066.4457831325303,730,350,10,256000,449.36960179518076,90,0.0021044796,0.03059765625,2.9654400000000002e-05,-0.0032687855623080397,2.6788721084594727,-0.3282046969532967,5.408849107861519,0.2088695764541626,0.2
