#{"t_start": 1699633903.942399, "env_id": "None"}
r,l,t
218.70372,3566,3.954014
218.822041,3585,7.694314
207.243136,3558,11.215991
235.747069,3557,15.019605
204.821988,3594,18.711465
212.743418,3500,22.464896
204.869339,3576,26.108279
214.083233,3478,29.989858
195.762273,3484,34.065392
211.86784,3626,38.326611
204.793935,3502,42.185454
223.495246,3613,45.957329
198.328637,3561,49.768724
234.090714,3665,53.43141
231.596071,3590,64.590943
252.654942,3588,68.278203
239.26151,3411,71.739077
232.966761,3462,75.280702
213.917177,3381,78.815124
255.439781,3499,82.178784
243.056128,3452,85.564339
245.583771,3574,89.098584
246.071567,3413,92.750414
217.287741,3414,97.441857
247.132272,3427,100.898896
227.607955,3313,104.33969
248.130588,3533,107.932167
234.691211,3458,111.413684
225.492455,3482,114.72482
259.006763,3381,125.344381
264.140234,3392,128.903862
272.26427,3435,132.453378
262.753096,3356,135.855427
279.961726,3412,139.31851
255.690913,3388,142.839097
243.923991,3384,146.455814
245.667491,3401,149.849749
269.089158,3266,153.056509
264.225014,3403,156.428221
243.241248,3439,159.869771
260.576273,3400,163.271584
260.925585,3325,166.645407
272.688784,3401,170.032677
266.685902,3355,173.301218
263.677396,3216,183.533386
279.818183,3304,186.738579
291.609842,3297,190.066159
287.173238,3258,193.527375
261.648936,3159,196.730117
274.888597,3315,200.034472
303.865803,3332,203.261437
279.891788,3269,206.445351
292.819822,3262,209.684238
302.187307,3225,212.816454
277.901371,3225,216.01326
317.006364,3391,219.338281
266.165883,3200,222.4793
286.898245,3408,225.848174
304.650006,3406,229.374218
297.225299,3368,238.848138
302.655036,3286,242.246941
286.192041,3159,245.403594
301.206794,3370,248.785717
294.235276,3199,251.965625
306.690357,3165,255.089564
300.005278,3183,258.263654
301.786391,3183,261.374667
334.796707,3292,264.616094
283.893165,3256,268.11096
305.04878,3255,271.402911
291.073712,3280,274.583105
295.840177,3297,277.95409
288.474837,3159,281.134333
334.533047,3252,284.286414
314.793201,3323,287.465268
301.771615,3152,296.889855
323.283052,3171,300.025276
313.096208,3194,303.143647
329.19804,3248,307.011889
327.657695,3201,310.829376
317.717288,3190,314.168325
303.274403,3148,317.450264
300.276533,3058,320.494912
303.02673,3093,323.549735
