uncompleted_cases,Resource 1,Resource 2,Resource 3,Resource 4,total_reward,mean_cycle_time,std_cycle_time
180,0.9977036355483723,0.9995828586957205,0.9998032304920751,0.9991875365608718,0,160.3224158182184,98.2737900767785
84,0.9570559372144221,0.9640988719241286,0.9658080920013177,0.9643777071260538,0,84.12467790082857,67.33019625426311
154,0.9884285822247734,0.990015867904124,0.9879239688969179,0.9888691730910009,0,140.79006697595705,89.75176220948558
80,0.99563079523703,0.9962807799101685,0.9970144909855846,0.9957987506597754,0,95.93879696695566,38.39476309598323
103,0.9941222918113772,0.9923987830845321,0.9946052876420023,0.9947154970297035,0,95.74219356241863,44.00907260230847
12,0.9840977295617062,0.9827708200804034,0.9836313194166003,0.9860053294557085,0,43.21911693007076,22.848740530303914
108,0.9936534406715869,0.9929085575308189,0.9942760406996829,0.9933876531671151,0,101.98489360123752,55.374658902015604
123,0.9945573338248028,0.9961641787433863,0.9932327735779725,0.9946085081248272,0,136.87056334370743,83.44997214228673
53,0.9832012749856047,0.9807479086849117,0.9848550714413971,0.9822524016446761,0,37.2573202292232,24.60037748877586
125,0.9978092743721034,0.9983830390117558,0.9985184107905452,0.9988248276390365,0,173.6158074303988,88.99695159257718
115,0.9899415561286548,0.989056727348607,0.9902183688172473,0.989855526854207,0,76.9187102612739,53.89026623798853
80,0.9903276826591016,0.9904416194818033,0.9917132289224175,0.9895270175344032,0,61.946610995118085,32.65948713015581
160,0.9981567589822109,0.9970798507028882,0.9983678738895967,0.9982518604059387,0,179.92637464313196,70.52825942911332
100,0.9993093675696526,0.999369495093193,0.9988991287309613,0.9993794480613009,0,125.78132308178292,44.45612498860543
18,0.9831692249051189,0.9793872696988308,0.9798494711997553,0.981334299738144,0,28.26300262591991,15.435470153685879
105,0.993523051885578,0.9927285754687251,0.9937653513987734,0.9926471402995317,0,150.82540184983736,68.88921343764584
25,0.967901597396433,0.9664119968329878,0.9670728695623644,0.9677860409795179,0,50.38595446802782,34.32839415417999
11,0.994532951781059,0.9949787782005104,0.995748912683401,0.9960682010816938,0,57.71374151487148,29.144900199171104
116,0.9978490887876643,0.998533636723748,0.9974585404681253,0.9970923255313539,0,100.30729723559959,59.45648916380009
112,0.9891976491971656,0.9895566521749559,0.9898333479850473,0.9911619611842736,0,126.82716455531761,65.16797127366992
6,0.9832499415064154,0.982150626125685,0.9843893079330394,0.9827621511340842,0,38.82388891947901,22.183759822174242
70,0.9930102760363355,0.9920493073683146,0.992998352991128,0.9920527283724745,0,70.156606616583,49.2439974476979
154,0.9942896142347112,0.9954158492766181,0.9972426510602301,0.996136706117669,0,133.79881040177492,88.88826675936056
100,0.989268674235957,0.9878721979478045,0.9867745581958194,0.9866232203495411,0,120.00767010479329,59.30539029319847
110,0.9832103571734262,0.9804894910415501,0.9802226316404192,0.9823027164823747,0,74.01049408306746,66.61580983385879
21,0.9642774311127423,0.9645051235428109,0.966980968982581,0.959844570043638,0,26.103846758484224,14.89940765332462
156,0.9942178639020253,0.9923821358917685,0.9930628377271896,0.992155231770907,0,174.21808772670227,119.53669510015133
182,0.9686628247296485,0.9683526472082905,0.9674533034099595,0.965996936159673,0,105.80240884001621,100.38805875940403
129,0.9941781316646813,0.9943888882734165,0.9927150176452584,0.9932032512180651,0,95.3370111316562,48.73712717229323
112,0.9983909387049582,0.9985206202949762,0.9989949380863421,0.9989343124153174,0,142.76222638074114,74.87160630210165
39,0.9934513279667372,0.9926378233758938,0.9931785697445535,0.9918362231008383,0,65.47584743744986,29.57647874073105
73,0.9983022153241041,0.9988433123274827,0.9984227253772475,0.9989843755968686,0,124.7519732493888,35.77232543708148
72,0.9998185413535472,0.999821032434844,0.9994200335969956,0.9997924102299145,0,121.75743222552376,42.134600987383955
8,0.9907170042993899,0.9910163991543426,0.9917338266492781,0.9918635457243203,0,47.7746066147693,27.445841176385194
61,0.9983015276004222,0.9990649146569285,0.9992251149339536,0.9992538480438546,0,68.25482118098589,34.66894360563946
49,0.9928874013434804,0.9934523583706169,0.9921731191680144,0.9938691992559973,0,88.89224980957825,49.18726059580441
84,0.9808415501422556,0.9858704644620295,0.983001187164866,0.9821504083618454,0,66.52744528637105,46.98698722811813
109,0.992059621798541,0.9912341646084316,0.9888357687778149,0.9906985968959309,0,106.54746728920792,61.877279535058214
90,0.9853510367232211,0.9830541019405861,0.9849428908696551,0.9866674521002972,0,109.74261855748264,70.9521890364661
68,0.9974813529500977,0.9969552541075798,0.9962184095519677,0.9978220531048839,0,73.16516174587505,31.717034112804615
32,0.9823679577832438,0.9840748322841144,0.9860149499969846,0.9869818258575178,0,42.4088646701584,23.482154344618465
111,0.997558317494059,0.998194431503105,0.9976255588775175,0.9987520798864152,0,122.74669280846129,67.39390379351649
51,0.994271103142032,0.9927931114280273,0.9937741494597445,0.9933725728574513,0,73.53557192901646,31.935200134738782
59,0.9886190580450913,0.988955824366446,0.9861610581550966,0.9886021367982069,0,66.65708652326441,39.1004314982235
76,0.9961301961468622,0.9953232428990594,0.9966096186770279,0.9955595756396725,0,61.998050920897455,35.806625127290935
30,0.993858955955077,0.9919522566106074,0.9915114515028601,0.992727185484285,0,63.44444628951898,30.557465029179628
50,0.9887523569136545,0.9918444602697211,0.9900367951036185,0.9866139415492086,0,101.66739053204891,45.08030357348673
168,0.9860684633162798,0.9855030254853365,0.9879275395144336,0.9867579692017624,0,154.51348825262914,105.68847794588228
2,0.9739222625868601,0.9732768696809955,0.9712448145234577,0.9728604618698348,0,58.95014325726186,34.970877640330784
105,0.9925273683392818,0.9916932510744205,0.992297845648072,0.9930696962697828,0,153.82459377902254,72.88623487586003
3,0.981168205993827,0.9783059499780753,0.9795408049810655,0.9772575765164855,0,52.022855087393054,38.924248700724284
79,0.9976105158683184,0.997492160268449,0.9977971126606051,0.9975378350146004,0,120.13230176986056,57.94397839275305
67,0.9781739398238809,0.9758998041967502,0.9742054139886628,0.9748094344081748,0,48.31187235918813,45.14131749532857
68,0.9788319818724339,0.9820821647559212,0.9830436312197584,0.981700476792484,0,45.914663131826046,30.15696387919485
12,0.9673219706113945,0.971566744103296,0.9723096996311696,0.9690190814138834,0,39.93618538173506,23.34096723825006
85,0.9831377227830912,0.981244004193366,0.9855451493516993,0.9850194873034307,0,69.66037725724645,48.10601301908622
22,0.9791629228883106,0.9789872417043973,0.9823270768770855,0.9825396766395508,0,41.041289770828875,21.60500757281415
40,0.988690407496622,0.9876965652017441,0.9887682010143358,0.9900237361793773,0,62.175260562196364,36.053187984123596
124,0.9928129733701928,0.9914427523024951,0.9907846849880061,0.9915511210770399,0,101.19568082331979,72.05128939399586
88,0.9692325607352196,0.9636710854694116,0.9674536178692907,0.9666162704500885,0,42.436021180373494,37.2396579900624
17,0.98374339013773,0.9850566932405367,0.9855980452336558,0.9833521293392501,0,36.323401864794796,21.79828084992057
38,0.9829662422412614,0.9838198972956574,0.9822736880301689,0.9814303162359403,0,48.20787186272337,35.078499793496064
152,0.9988382661476386,0.9995588282189191,0.9995698878863825,0.9984639864703194,0,153.4466698541716,68.50441101064749
91,0.9991254267173728,0.9990662264285047,0.9988812815539359,0.9993691363943686,0,115.73250104310874,59.416948190547345
14,0.9525802018772618,0.9532485651443312,0.9569475501950512,0.955813516061333,0,20.013486965983397,12.886793710871489
168,0.9955034000444819,0.9952661817074356,0.9947480946390468,0.9971926292608309,0,156.78099282095116,81.24636316138549
30,0.9950357724390504,0.9956287626728457,0.990906041086864,0.992292012791581,0,51.798544352628355,28.73035595251402
65,0.998059202020842,0.9982419003685064,0.9979672145212786,0.9956873638742818,0,99.02336076107736,51.76373565240164
91,0.9908641993337743,0.9910193227833876,0.9919683822881783,0.9917403166199178,0,81.93570937583827,41.54808456813352
47,0.9943163296050338,0.9933367905022733,0.9918124874451613,0.9933216689278658,0,75.84622217927603,27.594680513430152
111,0.9986079764094759,0.9992766700535832,0.9999416926011203,0.9994658251948678,0,164.7231388129942,71.156806099681
46,0.9991831406723757,0.9987541096645355,0.9992495869501714,0.9991609603269263,0,59.937437329159536,20.93243535031781
43,0.9892484885215764,0.9891278912972814,0.991369929091674,0.9888326433824124,0,58.74880151623243,31.824292657169174
