uncompleted_cases,Resource 1,Resource 2,Resource 3,Resource 4,total_reward,mean_cycle_time,std_cycle_time
25,0.9623293384940703,0.9566558289673467,0.9423846703342051,0.9373374824602926,0,18.07456633431239,10.198670054151679
9,0.9557881196593798,0.9438983779048709,0.941702830693641,0.9301573357315425,0,33.95371573341497,29.69425061431712
10,0.9498638011218574,0.9414497966014578,0.9365063621297011,0.9240363482450055,0,17.73852828652275,10.978915145515868
5,0.9435169667154749,0.9390305388352496,0.9282867999274694,0.9240504405407237,0,16.657004739765693,9.58848476506006
31,0.9393707273427002,0.9149394275036269,0.9056878866748106,0.8973126797024481,0,16.560686032201403,10.87804199166151
20,0.9745201789497178,0.9673063909732095,0.9649051199529224,0.9537143746361753,0,25.970260566762995,15.316240031299213
12,0.9629496281539758,0.9568703762961044,0.9491841889209598,0.9484457360424169,0,28.590020852846127,23.520706187050376
24,0.959416179150099,0.9526694467321306,0.9419599693907897,0.9410171573640489,0,19.466272300882892,11.943378356967209
8,0.9377895557405013,0.9312820907185313,0.9230811235376315,0.9144695311776044,0,22.732306166115468,17.2877634666378
5,0.9516188143971384,0.941410824517145,0.9353004558161246,0.925288415775218,0,18.70850959556433,10.552078729650441
5,0.9536997061241039,0.9346336803179609,0.9256720589130489,0.915475253688691,0,27.971796972740716,21.46804198940457
6,0.9447337005388421,0.932041798860454,0.9295643529235503,0.9256525787960483,0,17.069200183152685,9.906279867080304
19,0.9668852655370344,0.964668261209377,0.954549893539528,0.9509950709597491,0,22.045967919672016,12.835220500481666
20,0.977681528324201,0.967816321827692,0.9656773075840509,0.9625254285781735,0,29.24172968293971,18.98963340437897
6,0.9563411056626199,0.9394012799608501,0.93345221521618,0.9317358398311626,0,21.143767791675884,14.603973765007039
6,0.9263924759157475,0.9035167224004274,0.9033078486258772,0.8827635950708349,0,15.15241170057974,8.98091764753439
21,0.957976212400038,0.9529888444494818,0.9491678464960182,0.931398628535389,0,19.77768461026726,11.67759292524896
6,0.9539519890495083,0.9424027835608522,0.9348152190598268,0.9316755068769172,0,19.60649990995463,11.819838514543498
2,0.9428886562910654,0.9282921399074728,0.9159289556353717,0.9079791723384989,0,20.276294681109174,14.620734696168991
9,0.9430521501606609,0.9296555044211278,0.9166960111238713,0.9153091511738801,0,18.398528669558782,11.650295217053019
9,0.9567374231432346,0.9470143087240711,0.9380362026970747,0.9344427032754329,0,22.208975909832073,15.765356142088368
8,0.9448895750449148,0.9395132880127263,0.9280004018593032,0.9192776237177394,0,17.87235181328295,9.807458039614783
15,0.9721743083633126,0.9653272494566265,0.9560190126625006,0.9524319592903548,0,26.165991591464806,17.34351743979042
24,0.9665660369286146,0.9506266038325238,0.950594758665567,0.9398882357921542,0,41.800758315145934,31.333324737227073
4,0.9417470229284834,0.9247635326108421,0.9113129004386903,0.9099454387864493,0,19.632240679206532,12.150768282609084
11,0.9553833477762477,0.9407706656074235,0.9258682861181431,0.922331489046273,0,16.873107394428867,9.614423146430282
8,0.9242759652233133,0.9002351637171525,0.8890287712392974,0.8802250990101161,0,13.04806743132914,7.235628517593979
0,0.9393559453023761,0.9232996956493669,0.9185331372362332,0.9115975258138146,0,16.79469665023573,9.629286860483802
14,0.9501517840045166,0.9417662817065391,0.934412943657199,0.924226964295359,0,18.43119095575784,11.737064858673032
20,0.9532206021306822,0.9514321171870901,0.9431027650198995,0.9370240587768125,0,22.414818364554055,15.137269037769485
14,0.924145810635121,0.9122534719109177,0.8927805047312196,0.8852352632869113,0,13.978274774926348,8.487537760755108
43,0.9719053618700288,0.9596668688225367,0.9570164197415038,0.9473060049850488,0,28.33572675837538,22.576618660245604
6,0.95566434882984,0.9478932180128188,0.9361843573995097,0.9321267314670325,0,22.941817098384917,15.82722269416824
18,0.9330806478386534,0.9205841297571469,0.9091585881398825,0.8959833008591773,0,17.09532105165856,10.671416968115697
19,0.9269032719325316,0.9152940677161774,0.9037979978534082,0.8904103383822505,0,15.913256832966534,9.955829263008576
3,0.9562652060033512,0.9437256943247198,0.9367336976063075,0.9316406124196351,0,26.356147394427314,19.6771994140829
18,0.9479385813475081,0.9376708689000159,0.9240760715484779,0.9196571976661871,0,17.91177956807286,11.314737636155863
3,0.948738760397517,0.9381024426587034,0.9213802540981356,0.9215595654998547,0,17.126886268780428,10.564540290853014
8,0.9355030379488184,0.9258361655918547,0.9151068261867306,0.902136125514774,0,19.680838168912842,13.267026480028953
14,0.9621071855817931,0.9504402520539569,0.9429917737019765,0.9347116473420749,0,23.516552800363364,18.247006429617567
27,0.9437221485866237,0.934477566692474,0.9290243871039127,0.9179366988694537,0,23.967718406763172,16.933164268660235
26,0.9509358409396235,0.9381209507678734,0.9309659413974516,0.9218168179397377,0,23.01328768209181,13.94111050254796
7,0.9403724779045209,0.9260303874741534,0.9112154272834864,0.9100024417110826,0,17.650040056881036,10.446363050774075
5,0.9622450142164276,0.9537917054832018,0.9427683823298992,0.941138488014144,0,25.306594317023222,13.587987956349071
19,0.9500195484252559,0.9369424770534901,0.9237970557865735,0.9223986404192119,0,24.642746437605105,18.239152766053998
5,0.9762872544768828,0.9698546576327026,0.9612863219009612,0.9592472565347767,0,28.04991253466965,16.104025107287306
7,0.9551347139792197,0.9497703037167383,0.9428654714878663,0.936486389771832,0,17.88215216955324,11.080423409769303
27,0.9705005878865693,0.9606700684134355,0.9593287327564413,0.9537428128028516,0,25.084703396389965,14.704269525983953
6,0.9721753575468934,0.9637681729782489,0.9607217074282395,0.9553102790707441,0,25.016170133295116,13.661910460068668
13,0.9524220043247513,0.9437386341896047,0.9404429328873039,0.9309090300530517,0,17.936840906637926,11.07823254441661
1,0.9344759699123355,0.9263911383724304,0.9148273018500622,0.9070603489391107,0,19.03505302633057,12.193405457236553
12,0.9317253702585602,0.9164724925784596,0.9026026317749897,0.8958688764648385,0,15.79784435051164,9.365149867225643
13,0.9427609695605741,0.9325331401722977,0.9203888211629503,0.9102577216847045,0,16.06149021447678,8.795732809715583
8,0.9389363379268325,0.9293398416573231,0.9111912289129311,0.9087301333459791,0,17.11273770431476,9.907258518340477
16,0.9598393747375888,0.9495955038856646,0.9451246988499459,0.9365775188526757,0,24.83427247935558,18.870231668746307
8,0.9332166389587259,0.923955301710047,0.9084855447419778,0.9039265522159247,0,16.739034548115605,9.881081071903276
12,0.952484989774536,0.945331156120643,0.9406756625820318,0.9273211102026555,0,19.7864135846741,11.849642400167687
6,0.960027851833041,0.949823335443249,0.9492735196730493,0.9419591688940573,0,33.48495693872616,28.801656620796997
26,0.9251569715350746,0.9124296048175254,0.900922011138716,0.8956928101006626,0,18.22000324609038,12.42098919182027
