uncompleted_cases,Resource 1,Resource 2,Resource 3,Resource 4,Resource 5,Resource 6,Resource 7,Resource 8,Resource 9,Resource 10,Resource 11,Resource 12,total_reward,mean_cycle_time,std_cycle_time
28,0.72508183531843,0.7371175129688229,0.8999020223759446,0.8895544433252915,0.9357827461229996,0.9190491981292087,0.8514431537077831,0.8461635511372811,0.4316412187269714,0.8121699735898871,0.8262802494838024,0.8301996477014977,0,30.047328505980882,16.461874623210043
12,0.7347568001845439,0.7516718105192242,0.9208408573544852,0.9321478453637537,0.9648375099176992,0.9628875978926362,0.8763126096442732,0.8776162084600868,0.43396428026215245,0.825910619437234,0.8493075939985724,0.8579250233329682,0,35.70153427065844,18.70090611478397
17,0.7254269413235831,0.7329493552739355,0.9059345158623164,0.911434753894301,0.9165305794013373,0.8996873656150949,0.835256227867453,0.8296520690132327,0.4184947965304322,0.795694490035362,0.8371770846871114,0.8290590321792856,0,27.125993219532592,15.270022128664946
6,0.7282589787478795,0.7323972679490437,0.897712719167953,0.9067795608525421,0.9012414338492146,0.878889808021627,0.8327499168743605,0.828447548454613,0.44040557365711247,0.7932919676123881,0.8228529193858407,0.8216282954690856,0,27.658412649742328,17.62513846722938
33,0.7128182010679703,0.7442299140268875,0.8946268732085193,0.9002843318543772,0.9259646478538325,0.8992337312491109,0.8577229008074105,0.8539595316108036,0.43794501749688425,0.8352598193188747,0.8495203077309254,0.8449494597209154,0,35.09144638535465,22.360456849718975
13,0.7180991578703645,0.7313473244977424,0.9308788421670541,0.9385025064510031,0.9188488353513412,0.9049832261401393,0.8720869688020619,0.8682260717204766,0.4270084201282164,0.7940401501239086,0.8514148531749921,0.8483035511729453,0,34.77728303575851,25.205882042738992
19,0.6973816185579973,0.7090442683041183,0.892311078512322,0.9086606251553847,0.9097005249827805,0.8878184220965233,0.8426759810849029,0.8392310349627647,0.44300996617761484,0.8328987605385233,0.8324739046531929,0.8442232358022905,0,28.10641252392417,17.12779014878418
15,0.6868065055709718,0.7023380205294161,0.8742665451181493,0.8791944142066357,0.8874358116636804,0.8640439256172782,0.8122998369773614,0.7974822485189833,0.39983102262768644,0.7502135288378394,0.8099435812428358,0.8235379414184161,0,21.052715528910166,11.172074374611036
23,0.7107562825910694,0.7238476036621901,0.8932664804897622,0.8950318360591691,0.9116301007124126,0.895382382343618,0.8657871544085501,0.8603791169696214,0.4713435184898227,0.8298570629228484,0.8660609255308447,0.8636619051095525,0,26.377361864064923,14.67185462749814
23,0.7375303698521936,0.7479656235525673,0.9407995626627109,0.9457694281196042,0.9444543852426195,0.9280489760807495,0.8724162116372821,0.8593137172816431,0.4585316646199228,0.8221150106297158,0.8672921243464925,0.8698532987976431,0,43.150852440876186,24.90649988021223
