uncompleted_cases,Resource 1,Resource 2,total_reward,mean_cycle_time,std_cycle_time
2542,0.815483185811688,0.006384721946660042,0,2463.4704481101567,1436.5069408493487
2495,0.8180719374254335,0.017221207134449298,0,2404.070271306965,1434.8489876176466
2437,0.8345654039350424,0.04529198318766066,0,2228.8378916016363,1440.4469233799487
2493,0.8144384085813373,0.009857252575857393,0,2440.3849972611783,1442.483341820374
2411,0.7848250781848282,0.015628719740832325,0,2348.3679932018977,1440.1810386810614
2392,0.791256442973792,0.019747160388761516,0,2396.618257095539,1419.1001320461319
2448,0.777912813014431,0.021227132284498906,0,2398.0541393888075,1449.315896638521
2328,0.7845913743912902,0.02892052523518306,0,2377.614258689324,1416.4371482873476
2449,0.8474115509083349,0.04402184153435828,0,2327.2412829477994,1429.7198894436963
2267,0.8483160480861458,0.10946784401191721,0,1970.0476933551088,1365.5229789672094
2437,0.8464460374678414,0.03667009033755369,0,2263.1237863972297,1431.6744241886815
2428,0.7796142955086579,0.009708741428444998,0,2445.9704914637746,1446.8671399132268
2473,0.7626475339175233,0.015011002949779424,0,2433.5999513754396,1446.242982513997
2442,0.7878377907570601,0.007177537466173988,0,2408.3506628723294,1446.3074395643837
2531,0.805827074644967,0.026646024512604265,0,2368.5426124309515,1423.0909741453574
2423,0.79321388664511,0.018073796271931585,0,2398.709584607412,1458.7839445792472
2383,0.7676779371027438,0.016930114220588488,0,2380.6494600942697,1453.274986219375
2491,0.7922717858644979,0.01240757198266822,0,2410.600973785751,1434.9480938493377
2471,0.800860573870488,0.016010462153026702,0,2428.940824952616,1447.3569857842076
2469,0.8306892753545233,0.02837530456851454,0,2354.1557919700963,1428.089344007377
2532,0.8478253106883481,0.012762516154060932,0,2431.3381217826545,1448.3314633154575
2326,0.8342161701720131,0.07113189445376872,0,2176.0314209433773,1431.6798505951624
2446,0.807055168352389,0.03212637859113862,0,2360.6130464552866,1429.1876816412753
2411,0.7870617504266233,0.0160900993153941,0,2485.8309126936724,1427.1131922580626
2487,0.8047909707882765,0.009801265320720605,0,2469.7990217197794,1439.0956464358856
2482,0.7891158674360123,0.002660365279364824,0,2473.1623016993285,1432.8592735883797
2456,0.7937241367177178,0.022130068573441485,0,2385.951420474468,1449.2979155224764
2519,0.8189714895168801,0.0054636277897133646,0,2504.150899790474,1451.7765322024172
2435,0.804858409003213,0.028025452879876924,0,2340.1624818242303,1442.9479223586723
2421,0.7811412511428243,0.008256025445613695,0,2434.5920035085896,1441.6745695983043
2425,0.8007416337746347,0.030427267425967183,0,2308.3550925138793,1449.88666042864
2493,0.7921850304468778,0.0020157097676848437,0,2458.8495306275627,1429.6951151899962
2421,0.8004123133934906,0.01056368774884698,0,2471.1913947587886,1425.5541979377567
2438,0.792022132005569,0.006794769895213617,0,2439.5743716085085,1451.566159937372
2398,0.7865663250359894,0.01629313316649762,0,2408.6197193290163,1446.68701761664
2513,0.8414240070406075,0.025147698602382095,0,2417.756628638,1424.8073607000736
2472,0.7989097044815897,0.00019665220559913834,0,2501.6156200236455,1465.7094974597496
2572,0.8321275330937042,0.011847455733398054,0,2432.2305832168845,1420.0912880943272
2419,0.7660330446190493,0.002470344050139763,0,2452.9832469224666,1461.2964824746998
2428,0.7900856253788443,0.022475683853202203,0,2341.2853691337705,1444.138876881354
2526,0.8643615896209128,0.028255516321356287,0,2337.7586247985323,1444.2207115556778
2218,0.730825251927206,0.04611743403663459,0,2231.904877124074,1413.8325430240993
2365,0.7666761116702046,0.010621943119734302,0,2433.1963174932425,1454.3118173821742
2389,0.8106949748225948,0.035894801573127764,0,2302.0659765089495,1435.3132298243236
2423,0.784934057681338,0.01046442156527326,0,2407.043129617853,1429.8315845143866
2457,0.7875825593590304,0.007584172338711764,0,2455.9539803496973,1430.8506698493948
2492,0.7999722160854229,0.020728490503719492,0,2356.9861318151325,1434.7514211216
2401,0.7874318369030447,0.02697712458905436,0,2347.0340173675845,1426.6413841304898
2457,0.8148734884316096,0.024621402251354757,0,2384.0798002116494,1413.8671124902362
2476,0.7828050237020421,0.00706027702920313,0,2493.1792794293506,1446.3477713395232
2475,0.8309903657157034,0.03548527399944695,0,2290.988932481966,1432.2143596483918
2473,0.7937278594797773,0.018566106183247093,0,2392.998829598472,1450.4156060822083
2537,0.797184056616325,0.004869922669665521,0,2503.925516905097,1439.3094182188745
2494,0.7966338871732809,0.0028991172325198455,0,2449.441328350073,1456.9723629379846
2450,0.8096148500552467,0.008378521954960251,0,2409.505263264521,1429.20741998397
2422,0.8080620988812617,0.027050245103489474,0,2347.9687346582587,1448.3836325160755
2399,0.7854725329766954,0.011712995636082179,0,2391.2899656620298,1427.656583962457
2422,0.7790846959195838,0.012991425537034437,0,2496.674402783642,1436.9212590828208
2456,0.7785314682493748,0.006154126648658787,0,2407.2390110352803,1452.821700095995
2457,0.8040610081650659,0.0021357827724454237,0,2468.530156332148,1448.160691947751
2435,0.7813594212037241,0.0042646232259424405,0,2517.668956532599,1436.5843964224287
2388,0.7959087163458749,0.018227205006861282,0,2354.016455802722,1443.4279399060183
2511,0.8147305982265993,0.0036309746807598187,0,2471.9437426777595,1420.2044604768892
2351,0.7756087788981965,0.05180024357249529,0,2177.2077593680665,1422.71907088932
