uncompleted_cases,Resource 5,Resource 6,total_reward,mean_cycle_time,std_cycle_time
1067,0.9989778264913081,0.0,-5335000,1095.444465167273,657.0114352325114
934,0.9984286150460151,0.0,-4670000,961.7331368164226,581.0448708206669
973,0.9972477747480644,0.0,-4865000,975.4778312887573,574.6489420236129
1036,0.9990364740232519,0.0,-5180000,1023.4659865513905,580.6802068450761
1045,0.999489494519642,0.0,-5225000,1043.002111066593,627.2576545785105
1118,0.9964438598171173,0.0,-5590000,1086.4749044063087,661.5330183692447
1019,0.9981794655954714,0.0,-5095000,1088.2203631065754,620.0950484376777
903,0.9975126880653764,0.0,-4515000,901.0963367526583,517.1757399258497
1008,0.9989766356556679,0.0,-5040000,960.4099221590482,588.7347448588575
1124,0.9997520243224802,0.0,-5620000,1100.1926110468844,660.7687269315056
1122,0.9999290368932662,0.0,-5610000,1146.4458766001053,620.4727747615685
1019,0.9969916047078085,0.0,-5095000,1025.463466472616,624.7937034933135
999,0.9993670082482761,0.0,-4995000,998.4217714493657,584.5559711064037
908,0.9998437039677598,0.0,-4540000,952.09205826273,532.6164452916205
1039,0.9976931747348412,0.0,-5195000,1008.2412358527937,582.3376641885321
982,0.9992220781413336,0.0,-4910000,1019.7397212177419,590.1645884865034
1095,0.9980847596555208,0.0,-5475000,1172.2965364170036,649.2799928396992
1045,0.9979304579960839,0.0,-5225000,1084.7384605239863,613.7542221813993
1069,0.9982423640939043,0.0,-5345000,1024.1584753493314,594.3708290420666
1028,0.9997379821726661,0.0,-5140000,988.5641298851581,602.5437381076189
973,0.9998033123687577,0.0,-4865000,974.2358119191723,573.9447792310066
1162,0.9997616786376864,0.0,-5810000,1120.9028825625244,630.7634441009662
993,0.9998214140215672,0.0,-4965000,960.0003865669496,577.8693936089888
1013,0.9996337567788225,0.0,-5065000,1023.2052254276815,607.3299097593863
1005,0.9998691126591092,0.0,-5025000,1017.8012853226934,573.5991426823822
1059,0.99871983272456,0.0,-5295000,962.8694932466533,618.8968191794663
1055,0.9995143576578421,0.0,-5275000,1043.4519349402376,616.4967393174097
1178,0.9977822108575348,0.0,-5890000,1073.4361313764284,654.955817861243
1078,0.9995714671511028,0.0,-5390000,1108.586648017825,649.3360308606526
923,0.9987343673929561,0.0,-4615000,989.2621239305121,539.9471742181707
895,0.9985638974195268,0.0,-4475000,928.3509670930857,515.8097147075464
999,0.9984204111628913,0.0,-4995000,995.1603100298012,550.8968826757448
976,0.9997609651074221,0.0,-4880000,938.6431912683909,569.2819798726567
1042,0.9997298422979404,0.0,-5210000,1066.6455212173494,617.3331367974771
998,0.9986321803242685,0.0,-4990000,1106.410961365945,633.8238243824841
1086,0.9966752749163801,0.0,-5430000,1065.204616831899,616.6532587512872
1096,0.9996553549837834,0.0,-5480000,1040.3578847185208,605.2457037072008
1074,0.9999245979943591,0.0,-5370000,1015.0131591092588,612.0696327100627
1058,0.9968706114279019,0.0,-5290000,1074.126485145785,597.2532007208059
1097,0.998489884251753,0.0,-5485000,1085.0785391840461,598.1040759428154
1192,0.9963296907257858,0.0,-5960000,1171.0111873084031,689.4593914590241
1027,0.9988717346548254,0.0,-5135000,990.6763965479529,582.181809448079
1042,0.9999965931452449,0.0,-5210000,1011.0967731823603,565.9670124895972
1059,0.999674086807114,0.0,-5295000,1065.0713152998726,595.7712608894644
963,0.996670749523424,0.0,-4815000,939.1355280630867,579.4780477800543
1222,0.9996313097961996,0.0,-6110000,1199.1155417414209,680.171145243111
1003,0.9998980443188183,0.0,-5015000,1018.0420694821723,589.5513904118305
884,0.9995535220829326,0.0,-4420000,903.3208387947893,525.2872155245716
972,0.9997723850205752,0.0,-4860000,919.6148377742844,550.6814313899918
947,0.9989338527014632,0.0,-4735000,994.3121889321209,601.2837695885581
1081,0.9992922079271548,0.0,-5405000,1092.5091575391393,627.0558386915361
1167,0.9995347413794033,0.0,-5835000,1229.100532303082,701.7844514166106
1154,0.9984873955896363,0.0,-5770000,1077.5078974039836,622.5862227517764
1049,0.9968832360170446,0.0,-5245000,1141.6749775600601,634.9194088335
1028,0.9983918523318549,0.0,-5140000,944.5999058105346,538.3370145723167
1061,0.9994975123926668,0.0,-5305000,1114.8030529971627,633.7994675903382
992,0.9975848360733475,0.0,-4960000,1000.1379977906303,599.9151702906163
1109,0.9993623819418997,0.0,-5545000,1082.576652436158,611.6038891987542
1108,0.9994499314283805,0.0,-5540000,1115.2723067450129,620.2697262720097
1176,0.9993494998007658,0.0,-5880000,1143.8238302009747,668.2227921190466
1013,0.9998905519763199,0.0,-5065000,958.3045669155266,572.5478206744141
963,0.9996838490537113,0.0,-4815000,936.2540302602538,580.9207500473811
1047,0.9981557408206374,0.0,-5235000,1110.5266084146735,625.515504845603
1002,0.9994402250655581,0.0,-5010000,1060.4991213567255,587.2899042776096
1094,0.9994626747957207,0.0,-5470000,1094.1908579125543,642.960762382651
991,0.9999542731927374,0.0,-4955000,929.439672965542,576.2825034612123
1027,0.9988674761162792,0.0,-5135000,981.7875145741161,567.1965864225502
1112,0.9985507225681793,0.0,-5560000,1092.5552170444107,609.5915083538523
999,0.999902615784079,0.0,-4995000,1060.5360867095615,601.8990669499261
1059,0.9982442648724303,0.0,-5295000,975.9521508702887,601.804965616632
1053,0.9992770733804582,0.0,-5265000,1041.5965525443785,573.1236483187469
1002,0.9982135030775308,0.0,-5010000,1034.1190758636874,614.691022955876
1114,0.9979310204321442,0.0,-5570000,1054.1917764001676,635.5268645319741
1225,0.9994224520733578,0.0,-6125000,1181.8371656924883,666.4979851070373
1013,0.9996737521724671,0.0,-5065000,1018.3941932894899,598.3037720207503
998,0.9993525047637611,0.0,-4990000,1048.6738013051563,606.936812936818
1069,0.9967131996903985,0.0,-5345000,1082.496867416889,598.5321114364956
1085,0.9987486351361807,0.0,-5425000,1104.7363818901645,664.1805836190799
996,0.998291297080677,0.0,-4980000,1084.613101844778,590.3441428332825
1072,0.9986031953954736,0.0,-5360000,1007.7795395961939,612.7835318531033
1053,0.9996572751184877,0.0,-5265000,1035.045620021576,587.0505974068892
1115,0.9998246557764201,0.0,-5575000,1110.1039425020738,629.70669200127
1182,0.9990745205877983,0.0,-5910000,1105.7370687616708,643.5635525308303
1036,0.9987311505271609,0.0,-5180000,1034.3057848614226,575.6122370564839
979,0.9998131554268753,0.0,-4895000,928.3519614885982,567.4904348039285
1121,0.9989400549243601,0.0,-5605000,1153.4348109545174,664.5289908228526
1139,0.9996917988071038,0.0,-5695000,1017.4767619380524,614.0366876785978
979,0.9995397176758813,0.0,-4895000,1006.9114201339033,547.8516356970606
1122,0.9997100836700354,0.0,-5610000,1015.1119863058842,604.4470209982859
1064,0.9982722336142691,0.0,-5320000,988.925582622537,607.2254906829851
1151,0.999286127973175,0.0,-5755000,1076.8498111219278,664.895179842032
984,0.9975455398102473,0.0,-4920000,1006.641795707484,574.5494879931922
1067,0.9995604831726731,0.0,-5335000,1130.369167746892,635.5540850641048
1144,0.9986878441219634,0.0,-5720000,1129.16866612401,655.4516987128566
913,0.9996709039456897,0.0,-4565000,956.6544312001351,561.813275584497
1072,0.9984893819681991,0.0,-5360000,1059.6868242364735,610.0125423615791
1043,0.9995357994294678,0.0,-5215000,1037.8274191612297,624.8073507112056
1171,0.9992626051615665,0.0,-5855000,1095.3731060334253,652.7984795823
1080,0.9995010810997752,0.0,-5400000,1023.6369043897614,597.0655606366867
1052,0.9993681748813454,0.0,-5260000,1056.1829626352364,623.0629695465209
