uncompleted_cases,Resource 1,Resource 2,Resource 3,Resource 4,Resource 5,Resource 6,Resource 7,Resource 8,Resource 9,Resource 10,Resource 11,Resource 12,total_reward,mean_cycle_time,std_cycle_time
10,0.756871694347278,0.762081830334816,0.9503668756441861,0.9470174109929805,0.9506443784677485,0.9577197470180883,0.8701302629554375,0.8736230598143596,0.5126255318172264,0.7746548630769697,0.8596201814093243,0.856477144836603,0,39.09472188111698,24.25500557013547
21,0.7543809536863165,0.759231002157221,0.9823455293526682,0.9804103854043144,0.9092844711759137,0.9322641271775501,0.8766180309294581,0.8652521149375229,0.5119197498523497,0.776502785793289,0.851815154384381,0.8526364936677575,0,58.92216646990146,27.944872137234956
8,0.7200942170790151,0.7093352987289065,0.9027489045878235,0.9046270516363826,0.8855477831801023,0.911319188623491,0.8325227089556351,0.8264341624397226,0.4459436668866245,0.7428134409842473,0.8180737924081802,0.8141547302540846,0,25.827911953108362,14.084154782293494
25,0.7524829134740486,0.7630743853777536,0.9678388870539466,0.9679197242645609,0.9321813892283042,0.9371865484125478,0.8603186172552669,0.8547975307509449,0.515824288451359,0.7875354122350543,0.8553082802019307,0.8480447154319428,0,88.8209822025695,54.940248918428104
38,0.7461324309931395,0.7271023751430703,0.8963062221395747,0.901962986745656,0.8664595851305643,0.8891303353565496,0.8240819259772457,0.8287305814037547,0.4822754816627221,0.7215192276610566,0.8103383927237009,0.8208204317104335,0,23.3365259704368,13.384736372169941
35,0.7804570548000178,0.7746609283488807,0.9747766416810147,0.9791799722560438,0.941338616552116,0.9550051870838623,0.8709387982344501,0.881335367715655,0.5692846821278192,0.8229826921357993,0.8891387248570869,0.8912727696825208,0,56.74967055395877,35.88544279394975
18,0.7445204487304867,0.7440929439661538,0.9319417536991439,0.936672271324623,0.9061559195704689,0.9226642822915652,0.8341341486621809,0.82921104812656,0.5063304682054474,0.774580151982741,0.8446426308771233,0.8399621068079052,0,32.93313554546799,19.917385491455015
25,0.7595417022894436,0.748723223406724,0.9444411476871475,0.9329424155813102,0.8985684877796962,0.9191747101702477,0.8456741370066274,0.8644747751388817,0.481302786186474,0.7661094771668941,0.8694480252094594,0.8654083997316647,0,32.422566607136694,20.798324903853484
5,0.7674229727209783,0.7654573335908043,0.9413247703475607,0.9417162630251905,0.9122114193941401,0.9293672768444372,0.8446842064667659,0.8501518515056444,0.5121729599691196,0.7619634684053745,0.8449804509120246,0.8421690438058639,0,30.8104033324065,18.910195458740844
29,0.7849872647658405,0.7769848221810189,0.9819613114768277,0.9846884768269473,0.9344743753238057,0.9445243254739043,0.8657658424112633,0.8677222984856157,0.5307184062253905,0.7706967343433407,0.8556868534763312,0.8548466392043467,0,94.24276482487231,59.41324898115252
13,0.7230883419698803,0.7251911571743977,0.9223751688110018,0.9187128660801797,0.8757858128464688,0.9097142722039855,0.8044875356738579,0.8075369057276349,0.4838243650279305,0.745055360789328,0.8011293182068318,0.8074778156533974,0,26.259304535911788,15.55917732751181
18,0.7519955030112025,0.7464279000039432,0.9732689696540001,0.9757219620334788,0.9237059852153263,0.9387736189577814,0.8487660779926522,0.8468301537494727,0.47630062946733986,0.7490012051432078,0.8580171127290771,0.8560887335623218,0,45.3088891348381,26.214734637490608
45,0.7682785678592641,0.7589427062107497,0.9472209911760805,0.9436381990785081,0.9111639235737157,0.9289658544221456,0.8502651190712163,0.8559547224072923,0.5211558410656328,0.7670563720180131,0.8368398508616005,0.8407168928576438,0,36.52056790490779,23.063155018837296
32,0.7627203153894491,0.7483795910296615,0.974793792050958,0.9753836769143043,0.9122926832890349,0.9372927934937888,0.8633602391629255,0.8563199074733772,0.49352677886750473,0.7696106468552939,0.8683746468521769,0.8816193812283404,0,66.64221922598541,43.71709671388972
15,0.7637357497361046,0.7628880091578649,0.9762358380215955,0.9660570110916485,0.9361464354878916,0.9458736972326824,0.8198846985945254,0.8110448581474601,0.4798327843158933,0.7702154111224241,0.8483604048504332,0.8435212957783328,0,55.89079926763193,37.403418895492884
6,0.7086982701901376,0.7317706478320911,0.9269710822990098,0.9271226743837823,0.8737956967546037,0.9082772937899836,0.8243376134147719,0.821994048876021,0.4912614737146887,0.7731641694948163,0.8466664059179738,0.8447842349975695,0,26.98685100918197,17.322177427060588
11,0.7350955926460617,0.7252371945510239,0.9340565481620248,0.9402108080055452,0.9014129578335831,0.9139662146007631,0.8331774299504199,0.8219564131794139,0.4596389588340543,0.7700043331706471,0.7964142408282939,0.8049789422449536,0,29.992350734809044,21.01088650768751
26,0.7510217947849643,0.7464463323486995,0.9608760268091247,0.9666904460370493,0.9160943112584048,0.9320322116695781,0.8469201162060809,0.8432629415689303,0.49515857907808725,0.788270911066324,0.8488368219107238,0.8468988915953308,0,77.80636732626726,48.54052437766177
4,0.7337718594995462,0.73081839953911,0.8994410307682658,0.9008740571360935,0.8727127308835043,0.901103104197356,0.8137390442073416,0.8144855682531976,0.4870929020844322,0.739182749677924,0.8075570970165203,0.8054650297972915,0,30.851589641226084,30.184374891119095
