uncompleted_cases,Resource 7,Resource 8,total_reward,mean_cycle_time,std_cycle_time
1,0.8677407086709192,0.7809327595356186,0,10.997317255248861,9.186385911589198
8,0.9125928008057037,0.8566909001331842,0,17.677377502066044,15.563839079279921
2,0.8779274194948885,0.8043787956601108,0,14.31551963498701,13.919781638194358
2,0.8951627051715481,0.8341051600833463,0,17.623286831147073,16.107399975680405
12,0.8717757459867215,0.7935727951766173,0,11.820952240534764,10.189720704215716
16,0.8864116824322842,0.8215949928465679,0,17.845726858571222,20.44395424120758
5,0.8947680682591732,0.8317503640457646,0,20.968340546009806,21.67363565376748
2,0.8889193651077208,0.8220487949219729,0,16.432233593256413,15.39214757888358
18,0.8682424492892398,0.7759173448956047,0,10.802203191620361,10.629161361371885
5,0.8981641673559043,0.8324777349636207,0,14.59657185491998,12.470453820634143
10,0.8662915876084866,0.7975173754257958,0,16.18251318078364,17.561122377930747
9,0.867925514984665,0.7806685984700727,0,11.654877801083419,11.290608216359752
0,0.8938281650565681,0.8118527429870072,0,15.32325224715079,14.649600015600065
10,0.8555811509284391,0.7830969440141361,0,9.68106201259959,8.053204227748154
15,0.8641357935418938,0.7732201404495326,0,11.497894897946056,10.226056156660317
8,0.8860776676214619,0.8025656717548361,0,12.324724738193709,10.648998049697388
32,0.8769016961279321,0.796938190064565,0,15.239851162270734,12.37185823811563
38,0.8544031789345258,0.7798433237428396,0,10.011560701884703,9.680065974669512
0,0.9023765688251193,0.8376056616746397,0,14.444641512848387,12.840713041717946
5,0.8764858272641454,0.8057111801455655,0,12.912435144444185,10.518395775350173
2,0.8620415065844641,0.7880297346114915,0,13.971603730906246,17.231121442724994
10,0.9061716814112795,0.8457760331345545,0,18.707560055297453,19.949925354075155
0,0.8826556645034376,0.8193946207598627,0,15.422787997723544,18.287339151534425
2,0.8796570189950722,0.805631608283026,0,11.964807753108712,10.220657932598499
8,0.8828139148852837,0.8037091620311919,0,14.141214991432497,15.202909831503836
2,0.8887600384024943,0.826768176361105,0,15.616546670077907,15.586500747666692
5,0.8892550864525945,0.8189220519975539,0,15.92537568601759,15.051209758311677
9,0.9367051182228748,0.8940874436146874,0,21.353061929481253,18.04760244624326
4,0.8752755308780739,0.7878578303582366,0,9.644962757479886,7.633155425254557
14,0.8775298960604762,0.8079159303346992,0,15.429959386557318,16.280649048928463
1,0.8913144769941056,0.8210222317532105,0,12.626480153303168,11.861814320915464
2,0.8951759350379043,0.8370496074459303,0,14.12037736697175,12.507402394090459
1,0.909271761372543,0.855360975427103,0,21.073569774998724,22.249748215491557
0,0.9071868629902498,0.8482935156736883,0,19.381311702293072,20.79126667558551
3,0.9027675608451479,0.8376878696035512,0,13.250486303342127,10.497324709273089
29,0.8902209442717678,0.8394149270391834,0,16.128455405906465,13.188534118723043
4,0.9002317256105075,0.8389549042303868,0,13.622499311040308,10.715950364345172
10,0.8851499484631182,0.8231271726222409,0,14.913509842789274,14.058734227622843
12,0.8725395418058175,0.808870119221187,0,12.435045412053697,10.49697659570695
5,0.886888600008478,0.8397960672031821,0,14.546749632578916,14.560393370182375
7,0.8820674154426541,0.7967687836323959,0,12.001168259809427,9.657689121937668
20,0.881175297025928,0.816466457693751,0,13.966859302287146,13.88677373154979
1,0.9045991399298923,0.84269093443575,0,20.689553251209794,18.532317786293564
26,0.8896853661126928,0.8239842746168013,0,12.84895425409709,11.232473431478782
2,0.9006562292992374,0.8354546992774514,0,15.821992589384184,15.385317955823673
23,0.8930413718163911,0.8284580282806908,0,12.839136808011547,9.884110939785044
9,0.910256372252568,0.8559336376938289,0,18.23332742693061,16.04102893317835
6,0.87623494444354,0.7996653376542494,0,12.634549100535047,12.61697184239325
6,0.8920166549566174,0.8299379429033538,0,14.794315680614181,13.65768019204852
6,0.85800699953511,0.7911067416331445,0,11.251907560408267,9.60928977329376
5,0.9100559270870477,0.8499649159416709,0,15.092684740068435,13.960932972042631
2,0.8924561131536773,0.8263791531019631,0,11.856248436113022,9.866813231176323
1,0.886600643880206,0.8095812644939089,0,13.465554275035364,12.362338418960626
6,0.8948917462724317,0.8283386419051681,0,14.601930926561597,15.249338436291175
9,0.8836140909401196,0.7920651426104255,0,11.458889782157842,10.42777267707775
14,0.9048839153495363,0.8434487479236357,0,22.515597478678004,30.0620215093845
0,0.867663509220842,0.7958355421636313,0,14.23227934663597,12.701239327715884
6,0.8757675045619675,0.8091940809661242,0,11.936153948345698,11.780290540871116
6,0.9059967768852466,0.836529901775528,0,19.068618859986085,19.099536968297105
23,0.8900309063787827,0.8281774443846787,0,18.457044264330822,20.52144270883191
5,0.8974876609702233,0.8404292568044232,0,15.0504942334297,12.629590636006716
1,0.8747296896728384,0.804025780268747,0,13.947534884050146,13.226207657931718
22,0.8678562735229356,0.7985627062345118,0,11.478688997785204,9.528089699047648
10,0.8916468769906173,0.8225030461746424,0,14.223034940752266,13.099821357531065
3,0.8743562859457483,0.8038690895155507,0,16.102134902600124,17.184995673123773
3,0.8754158673249424,0.7811225875064491,0,10.619328821813129,9.66924043894807
1,0.9063139533100096,0.8607799914305768,0,22.478153841037955,21.241103360512245
11,0.8635008589380968,0.7773802367410686,0,11.74614324375286,14.744141640737855
5,0.8912227929990276,0.8294712778056746,0,13.025895839808937,10.28380253935685
11,0.8731042994986598,0.81021476580503,0,14.099900712764272,13.07104337273546
1,0.8881451794402802,0.8296045641694624,0,13.993706871295226,11.251947657349826
15,0.8674597432796072,0.7921509831558741,0,10.480190101719685,9.313259630201395
13,0.8957919666245089,0.8298065031566241,0,14.44782082730727,11.82184052052258
11,0.8918864383108266,0.8225492711575565,0,16.017095754601325,16.13087698237751
5,0.8870215141962094,0.8101617885596312,0,16.618782635172696,20.446454171313505
13,0.880439225443163,0.8064391488895899,0,12.994171424243376,11.122416495059829
6,0.9007368967065067,0.8361168103517351,0,14.722217106327458,12.398660371054191
1,0.8461811583706381,0.7555669788015974,0,8.726396116831836,6.952098014574593
0,0.8998146954394864,0.8280939061648455,0,16.883134743890373,16.405855884323127
7,0.8603842779938422,0.7818229354457104,0,10.596662909510766,10.321192461876866
14,0.8961013240025408,0.8242940802727639,0,14.078890640365232,12.546738857881648
1,0.8890003003325033,0.8381207665500624,0,13.988050347435689,11.213080409270264
18,0.8809517020105504,0.8198439339781822,0,13.319619755670093,13.663243676499375
2,0.8887027893851495,0.8400530625295892,0,14.316998211796305,13.792393110071437
9,0.903033549471074,0.8436217364841266,0,16.262201416052196,15.185025467365122
