uncompleted_cases,Resource 1,Resource 2,Resource 3,Resource 4,Resource 5,Resource 6,Resource 7,Resource 8,Resource 9,Resource 10,Resource 11,Resource 12,total_reward,mean_cycle_time,std_cycle_time
1089,0.9785746723089854,0.457443443853396,0.9717524403229736,0.959125935059655,0.9993230110263239,0.0,0.9513216415259871,0.7419272789786624,0.7070586600285732,0.686212445667004,0.9991395933080331,0.1064775507303487,-5445000,1097.988616585528,629.9823719430656
1004,0.9738547269176601,0.4554388386732943,0.8692746025848128,0.9576435984966585,0.9997519027607888,0.0,0.929480890651331,0.7426547230438089,0.696856009580289,0.5896881406594949,0.9992123025247085,0.07955101597788278,-5020000,1035.4738534299704,574.8225089297986
965,0.9799972650391362,0.4442007447696196,0.876544700018957,0.989175936602777,0.9997714224465614,0.0,0.9663058511562829,0.6981542617242145,0.7424738328574401,0.5932874899387233,0.9999779269352969,0.06660600027955488,-4825000,908.5148846281048,572.1579520254141
1032,0.9758753240636721,0.4484714106157939,0.9269884406111251,0.9981844267180335,0.9998052272172355,0.0,0.9453449044295923,0.7526978654827884,0.69277268590276,0.6310931431315747,0.9997905157178868,0.048783858527114574,-5160000,934.2676522217288,570.5778500715859
1030,0.9790957021604412,0.4462860820107777,0.921442838500721,0.9937585754341519,0.9979259606200094,0.0,0.9217556870967124,0.7963209142272245,0.6959324830462721,0.609976241672865,0.9983925229906364,0.08435462546016786,-5150000,959.6817094176387,586.9999137854348
1063,0.9752851646812133,0.4605425463975904,0.9849007447480146,0.9962298871644912,0.9940484675525421,0.0,0.9253051855026799,0.7868786484767748,0.684787826138786,0.6367129234281284,0.996665395241587,0.007045735099456558,-5315000,1083.147899955695,620.4301638024223
1169,0.9794956847459464,0.5063752439350869,0.9782261178019862,0.9998925324196167,0.9996984169018327,0.0,0.9524314862595246,0.7527762944794582,0.690421640820402,0.6849736522891806,0.1298233779501414,0.9614802267009065,-5845000,1174.1237125046032,651.1270144970633
1086,0.9844651490326946,0.5128243338858444,0.9526972490790997,0.9858030371645514,0.9999718524667487,0.0,0.9073987965201897,0.8448616071651742,0.6968758614192995,0.6385096132118724,0.9998839876402835,0.042322395582533735,-5430000,1088.7286989738843,634.0379604174401
1099,0.9851560102942183,0.49295849925530555,0.9443492169281457,0.9648349390597414,0.9984131159992073,0.0,0.9438858405938134,0.7810988611030565,0.7433075808046057,0.6170840226283821,0.9989419490965075,0.05678016455133038,-5495000,1055.2318079249576,612.7980049326989
971,0.9832955531399122,0.44572930576035524,0.8883042019801322,0.9643454207169734,0.9998866380526188,0.0,0.9350640118170152,0.7285389263006586,0.6655932768722576,0.590488167570862,0.9977428634291465,0.05326821071627586,-4855000,1047.3114045136685,599.8879477293178
